# [Setup]
# logfile: auto
# gpib_num: 18
# [Experiment]
# start_freq: 10
# stop_freq: 100000
# points: 400
# linear_type: false
##########
# Comment: Optimised PID settings for "almost" locking
##########
# Frequency (Hz), LogMagnitude (dB), Phase (deg)
8.6565e+03,-3.8612e+01,-1.7475e+01
8.8587e+03,-3.8653e+01,-1.9115e+01
9.0655e+03,-3.8698e+01,-2.0744e+01
9.2772e+03,-3.8749e+01,-2.2381e+01
9.4939e+03,-3.8800e+01,-2.4013e+01
9.7156e+03,-3.8867e+01,-2.5615e+01
9.9425e+03,-3.8930e+01,-2.7213e+01
1.0175e+04,-3.9002e+01,-2.8819e+01
1.0412e+04,-3.9083e+01,-3.0444e+01
1.0655e+04,-3.9163e+01,-3.1998e+01
1.0904e+04,-3.9258e+01,-3.3599e+01
1.1159e+04,-3.9352e+01,-3.5174e+01
1.1419e+04,-3.9455e+01,-3.6701e+01
1.1686e+04,-3.9561e+01,-3.8251e+01
1.1959e+04,-3.9670e+01,-3.9788e+01
1.2238e+04,-3.9787e+01,-4.1317e+01
1.2524e+04,-3.9894e+01,-4.2808e+01
1.2816e+04,-4.0022e+01,-4.4289e+01
1.3116e+04,-4.0144e+01,-4.5768e+01
1.3422e+04,-4.0277e+01,-4.7281e+01
1.3736e+04,-4.0410e+01,-4.8711e+01
1.4056e+04,-4.0550e+01,-5.0145e+01
1.4384e+04,-4.0692e+01,-5.1602e+01
1.4720e+04,-4.0831e+01,-5.2975e+01
1.5064e+04,-4.0985e+01,-5.4376e+01
1.5416e+04,-4.1136e+01,-5.5764e+01
1.5776e+04,-4.1284e+01,-5.7206e+01
1.6144e+04,-4.1441e+01,-5.8569e+01
1.6521e+04,-4.1592e+01,-5.9932e+01
1.6907e+04,-4.1761e+01,-6.1341e+01
1.7302e+04,-4.1920e+01,-6.2686e+01
1.7706e+04,-4.2081e+01,-6.4042e+01
1.8119e+04,-4.2247e+01,-6.5421e+01
1.8543e+04,-4.2420e+01,-6.6763e+01
1.8976e+04,-4.2589e+01,-6.8133e+01
1.9419e+04,-4.2759e+01,-6.9482e+01
1.9872e+04,-4.2927e+01,-7.0911e+01
2.0336e+04,-4.3104e+01,-7.2252e+01
2.0811e+04,-4.3289e+01,-7.3649e+01
2.1297e+04,-4.3455e+01,-7.5006e+01
2.1794e+04,-4.3642e+01,-7.6382e+01
2.2303e+04,-4.3814e+01,-7.7804e+01
2.2824e+04,-4.3991e+01,-7.9235e+01
2.3357e+04,-4.4172e+01,-8.0588e+01
2.3903e+04,-4.4355e+01,-8.2099e+01
2.4461e+04,-4.4540e+01,-8.3662e+01
2.5032e+04,-4.4733e+01,-8.5118e+01
2.5617e+04,-4.4908e+01,-8.6576e+01
2.6215e+04,-4.5088e+01,-8.8199e+01
2.6827e+04,-4.5274e+01,-8.9801e+01
2.7453e+04,-4.5469e+01,-9.1366e+01
2.8095e+04,-4.5646e+01,-9.3089e+01
2.8751e+04,-4.5820e+01,-9.4785e+01
2.9422e+04,-4.6000e+01,-9.6482e+01
3.0109e+04,-4.6177e+01,-9.8351e+01
3.0812e+04,-4.6345e+01,-1.0017e+02
3.1532e+04,-4.6529e+01,-1.0214e+02
3.2268e+04,-4.6701e+01,-1.0406e+02
3.3022e+04,-4.6860e+01,-1.0624e+02
3.3793e+04,-4.7024e+01,-1.0822e+02
3.4582e+04,-4.7182e+01,-1.1048e+02
3.5389e+04,-4.7336e+01,-1.1283e+02
3.6216e+04,-4.7479e+01,-1.1511e+02
3.7061e+04,-4.7630e+01,-1.1754e+02
3.7927e+04,-4.7749e+01,-1.2009e+02
3.8813e+04,-4.7872e+01,-1.2269e+02
3.9719e+04,-4.7979e+01,-1.2541e+02
4.0646e+04,-4.8062e+01,-1.2812e+02
4.1596e+04,-4.8137e+01,-1.3097e+02
4.2567e+04,-4.8206e+01,-1.3392e+02
4.3561e+04,-4.8254e+01,-1.3715e+02
4.4578e+04,-4.8279e+01,-1.4023e+02
4.5619e+04,-4.8303e+01,-1.4352e+02
4.6685e+04,-4.8281e+01,-1.4688e+02
4.7775e+04,-4.8245e+01,-1.5022e+02
4.8890e+04,-4.8193e+01,-1.5352e+02
